RUN	sushiShopLoad.sushiShopLoadSimulation	sushishoploadsimulation	1599839557089	 	3.3.1
USER	scenarioThree	43	END	1599839565299	1599839565460
USER	scenarioThree	44	START	1599839565461	1599839565461
REQUEST	44		openMainPage	1599839565461	1599839565561	OK	 
REQUEST	44		makeAnOrder	1599839565564	1599839565618	OK	 
USER	scenarioThree	44	END	1599839565461	1599839565619
USER	scenarioThree	45	START	1599839565620	1599839565620
REQUEST	45		openMainPage	1599839565621	1599839565722	OK	 
REQUEST	45		makeAnOrder	1599839565725	1599839565779	OK	 
USER	scenarioThree	45	END	1599839565620	1599839565780
USER	scenarioThree	46	START	1599839565781	1599839565781
REQUEST	46		openMainPage	1599839565781	1599839565882	OK	 
REQUEST	46		makeAnOrder	1599839565885	1599839565939	OK	 
USER	scenarioThree	46	END	1599839565781	1599839565942
USER	scenarioThree	47	START	1599839565943	1599839565943
REQUEST	47		openMainPage	1599839565944	1599839566050	OK	 
REQUEST	47		makeAnOrder	1599839566053	1599839566107	OK	 
USER	scenarioThree	47	END	1599839565943	1599839566111
USER	scenarioThree	48	START	1599839566111	1599839566111
REQUEST	48		openMainPage	1599839566112	1599839566213	OK	 
REQUEST	48		makeAnOrder	1599839566216	1599839566269	OK	 
USER	scenarioThree	48	END	1599839566111	1599839566272
USER	scenarioThree	49	START	1599839566273	1599839566273
REQUEST	49		openMainPage	1599839566274	1599839566377	OK	 
REQUEST	49		makeAnOrder	1599839566380	1599839566436	OK	 
USER	scenarioThree	49	END	1599839566273	1599839566439
USER	scenarioThree	50	START	1599839566440	1599839566440
REQUEST	50		openMainPage	1599839566441	1599839566541	OK	 
REQUEST	50		makeAnOrder	1599839566544	1599839566597	OK	 
USER	scenarioThree	50	END	1599839566440	1599839566600
USER	scenarioThree	51	START	1599839566601	1599839566601
REQUEST	51		openMainPage	1599839566602	1599839566703	OK	 
REQUEST	51		makeAnOrder	1599839566705	1599839566757	OK	 
USER	scenarioThree	51	END	1599839566601	1599839566759
USER	scenarioThree	52	START	1599839566759	1599839566759
REQUEST	52		openMainPage	1599839566761	1599839566862	OK	 
REQUEST	52		makeAnOrder	1599839566866	1599839566921	OK	 
USER	scenarioThree	52	END	1599839566759	1599839566925
USER	scenarioThree	53	START	1599839566926	1599839566926
REQUEST	53		openMainPage	1599839566926	1599839567027	OK	 
REQUEST	53		makeAnOrder	1599839567030	1599839567083	OK	 
USER	scenarioThree	53	END	1599839566926	1599839567084
USER	scenarioThree	54	START	1599839567085	1599839567085
REQUEST	54		openMainPage	1599839567086	1599839567185	OK	 
REQUEST	54		makeAnOrder	1599839567187	1599839567249	OK	 
USER	scenarioThree	54	END	1599839567085	1599839567253
USER	scenarioThree	55	START	1599839567253	1599839567253
REQUEST	55		openMainPage	1599839567255	1599839567356	OK	 
REQUEST	55		makeAnOrder	1599839567359	1599839567413	OK	 
USER	scenarioThree	55	END	1599839567253	1599839567416
USER	scenarioThree	56	START	1599839567417	1599839567417
REQUEST	56		openMainPage	1599839567418	1599839567520	OK	 
REQUEST	56		makeAnOrder	1599839567523	1599839567576	OK	 
USER	scenarioThree	56	END	1599839567417	1599839567580
USER	scenarioThree	57	START	1599839567580	1599839567580
REQUEST	57		openMainPage	1599839567582	1599839567682	OK	 
REQUEST	57		makeAnOrder	1599839567684	1599839567737	OK	 
USER	scenarioThree	57	END	1599839567580	1599839567740
USER	scenarioThree	58	START	1599839567741	1599839567741
REQUEST	58		openMainPage	1599839567742	1599839567844	OK	 
REQUEST	58		makeAnOrder	1599839567847	1599839567900	OK	 
USER	scenarioThree	58	END	1599839567741	1599839567901
USER	scenarioThree	59	START	1599839567901	1599839567901
REQUEST	59		openMainPage	1599839567903	1599839568003	OK	 
REQUEST	59		makeAnOrder	1599839568005	1599839568060	OK	 
USER	scenarioThree	59	END	1599839567901	1599839568063
USER	scenarioThree	60	START	1599839568063	1599839568063
REQUEST	60		openMainPage	1599839568065	1599839568165	OK	 
REQUEST	60		makeAnOrder	1599839568168	1599839568222	OK	 
USER	scenarioThree	60	END	1599839568063	1599839568225
USER	scenarioThree	61	START	1599839568225	1599839568225
REQUEST	61		openMainPage	1599839568227	1599839568328	OK	 
REQUEST	61		makeAnOrder	1599839568331	1599839568385	OK	 
USER	scenarioThree	61	END	1599839568225	1599839568387
USER	scenarioThree	62	START	1599839568387	1599839568387
REQUEST	62		openMainPage	1599839568389	1599839568491	OK	 
REQUEST	62		makeAnOrder	1599839568494	1599839568549	OK	 
USER	scenarioThree	62	END	1599839568387	1599839568552
USER	scenarioThree	63	START	1599839568553	1599839568553
REQUEST	63		openMainPage	1599839568554	1599839568654	OK	 
REQUEST	63		makeAnOrder	1599839568657	1599839568710	OK	 
USER	scenarioThree	63	END	1599839568553	1599839568711
USER	scenarioThree	64	START	1599839568712	1599839568712
REQUEST	64		openMainPage	1599839568712	1599839568812	OK	 
REQUEST	64		makeAnOrder	1599839568816	1599839568868	OK	 
USER	scenarioThree	64	END	1599839568712	1599839568873
USER	scenarioThree	65	START	1599839568874	1599839568874
REQUEST	65		openMainPage	1599839568875	1599839568974	OK	 
REQUEST	65		makeAnOrder	1599839568977	1599839569032	OK	 
USER	scenarioThree	65	END	1599839568874	1599839569035
USER	scenarioThree	66	START	1599839569035	1599839569035
REQUEST	66		openMainPage	1599839569036	1599839569138	OK	 
REQUEST	66		makeAnOrder	1599839569140	1599839569194	OK	 
USER	scenarioThree	66	END	1599839569035	1599839569197
USER	scenarioThree	67	START	1599839569197	1599839569197
REQUEST	67		openMainPage	1599839569198	1599839569298	OK	 
REQUEST	67		makeAnOrder	1599839569300	1599839569353	OK	 
USER	scenarioThree	67	END	1599839569197	1599839569356
USER	scenarioThree	68	START	1599839569356	1599839569356
REQUEST	68		openMainPage	1599839569358	1599839569458	OK	 
REQUEST	68		makeAnOrder	1599839569461	1599839569514	OK	 
USER	scenarioThree	68	END	1599839569356	1599839569517
USER	scenarioThree	69	START	1599839569517	1599839569517
REQUEST	69		openMainPage	1599839569518	1599839569617	OK	 
REQUEST	69		makeAnOrder	1599839569620	1599839569672	OK	 
USER	scenarioThree	69	END	1599839569517	1599839569675
USER	scenarioThree	70	START	1599839569675	1599839569675
REQUEST	70		openMainPage	1599839569677	1599839569778	OK	 
REQUEST	70		makeAnOrder	1599839569781	1599839569834	OK	 
USER	scenarioThree	70	END	1599839569675	1599839569837
